,LCLid,energy(kWh/hh)
1217,MAC002136,0
1218,MAC002136,0
1219,MAC002136,0
1220,MAC002136,0
1221,MAC002136,0
1222,MAC002136,0
1223,MAC002136,0
1224,MAC002136,0
1225,MAC002136,0
1226,MAC002136,0
1227,MAC002136,0
1228,MAC002136,0
1229,MAC002136,0
1230,MAC002136,0
1231,MAC002136,0
1232,MAC002136,0
1233,MAC002136,0
1234,MAC002136,0
1235,MAC002136,0
1236,MAC002136,0
1237,MAC002136,0
1238,MAC002136,0
1239,MAC002136,0
1240,MAC002136,0
1241,MAC002136,0
1242,MAC002136,0
1243,MAC002136,0
1244,MAC002136,0
1245,MAC002136,0
1246,MAC002136,0
1247,MAC002136,0
1248,MAC002136,0
1249,MAC002136,0
1250,MAC002136,0
1251,MAC002136,0
1252,MAC002136,0
1253,MAC002136,0
1254,MAC002136,0
1255,MAC002136,0
1256,MAC002136,0
1257,MAC002136,0
1258,MAC002136,0
1259,MAC002136,0
1260,MAC002136,0
1261,MAC002136,0
1262,MAC002136,0
1263,MAC002136,0
1264,MAC002136,0
1265,MAC002136,0
1266,MAC002136,0
1267,MAC002136,0
1268,MAC002136,0
1269,MAC002136,0
1270,MAC002136,0
1271,MAC002136,0
1272,MAC002136,0
1273,MAC002136,0
1274,MAC002136,0
1275,MAC002136,0
1276,MAC002136,0
1277,MAC002136,0
1278,MAC002136,0
1279,MAC002136,0
1280,MAC002136,0
1281,MAC002136,0
1282,MAC002136,0
1283,MAC002136,0
1284,MAC002136,0
1285,MAC002136,0
1286,MAC002136,0
1287,MAC002136,0
1288,MAC002136,0
1289,MAC002136,0
1290,MAC002136,0
1291,MAC002136,0
1292,MAC002136,0
1293,MAC002136,0
1294,MAC002136,0
1295,MAC002136,0
1296,MAC002136,0
1297,MAC002136,0
1298,MAC002136,0
1299,MAC002136,0
1300,MAC002136,0
1301,MAC002136,0
1302,MAC002136,0
1303,MAC002136,0
1304,MAC002136,0
1305,MAC002136,0
1306,MAC002136,0
1307,MAC002136,0
1308,MAC002136,0
1309,MAC002136,0
1310,MAC002136,0
1311,MAC002136,0
1312,MAC002136,0
1313,MAC002136,0
1314,MAC002136,0
1315,MAC002136,0
1316,MAC002136,0
1317,MAC002136,0
1318,MAC002136,0
1319,MAC002136,0
1320,MAC002136,0
1321,MAC002136,0
1322,MAC002136,0
1323,MAC002136,0
1324,MAC002136,0
1325,MAC002136,0
1326,MAC002136,0
1327,MAC002136,0
1328,MAC002136,0
1329,MAC002136,0
1330,MAC002136,0
1331,MAC002136,0
1332,MAC002136,0
1333,MAC002136,0
1334,MAC002136,0
1335,MAC002136,0
1336,MAC002136,0
1337,MAC002136,0
1338,MAC002136,0
1339,MAC002136,0
1340,MAC002136,0
1341,MAC002136,0
1342,MAC002136,0
1343,MAC002136,0
1344,MAC002136,0
1345,MAC002136,0
1346,MAC002136,0
1347,MAC002136,0
1348,MAC002136,0
1349,MAC002136,0
1350,MAC002136,0
1351,MAC002136,0
1352,MAC002136,0
