tstp,CO
2018/2/19,0.71
2018/2/19,0.76
2018/2/19,0.57
2018/2/19,0.35
2018/2/19,0.3
2018/2/19,0.25
2018/2/19,0.23
2018/2/19,0.3
2018/2/19,0.3
2018/2/19,0.32
2018/2/19,0.44
2018/2/19,0.58
2018/2/19,0.67
2018/2/19,0.6
2018/2/19,0.85
2018/2/19,0.59
2018/2/20,0.39
2018/2/20,0.32
2018/2/20,0.34
2018/2/20,0.33
2018/2/20,0.37
2018/2/20,0.35
2018/2/20,0.37
2018/2/20,0.39
2018/2/20,0.43
2018/2/20,0.38
2018/2/20,0.26
2018/2/20,0.26
2018/2/20,0.21
2018/2/20,0.22
2018/2/20,0.21
2018/2/20,0.22
2018/2/20,0.23
2018/2/20,0.29
2018/2/20,0.28
2018/2/20,0.31
2018/2/20,0.34
2018/2/20,0.34
2018/2/20,0.35
2018/2/20,0.36
2018/2/21,0.36
2018/2/21,0.39
2018/2/21,0.32
2018/2/21,0.32
2018/2/21,0.35
2018/2/21,0.39
2018/2/21,0.38
2018/2/21,0.4
2018/2/21,0.39
2018/2/21,0.37
2018/2/21,0.37
2018/2/21,0.33
2018/2/21,0.29
2018/2/21,0.28
2018/2/21,0.28
2018/2/21,0.29
2018/2/21,0.32
2018/2/21,0.31
2018/2/21,0.34
2018/2/21,0.33
2018/2/21,0.32
2018/2/21,0.32
2018/2/21,0.3
2018/2/21,0.29
2018/2/22,0.3
2018/2/22,0.26
2018/2/22,0.26
2018/2/22,0.27
2018/2/22,0.29
2018/2/22,0.31
2018/2/22,0.35
2018/2/22,0.44
2018/2/22,0.4
2018/2/22,0.39
2018/2/22,0.39
2018/2/22,0.44
2018/2/22,0.43
2018/2/22,0.36
2018/2/22,0.34
2018/2/22,0.36
2018/2/22,0.37
2018/2/22,0.38
2018/2/22,0.37
2018/2/22,0.36
